tokenID	Bit String	Type of Token	description	external_url	Starting Project	Unit	Deleverable	Years_Duration	Impact Type	SDGs	KML	Starting Date	Implementer Partner	Document Type	Internal Verification	IV_Document	Local Verification	Imv_Document	Project Type	Impact Unit
1	01100000100000001101010000101010101010000010110011100000000000000001000000000000000000000000000011000000000000000000000000000000000000000000	Common Releafs Token	Releafs is financing an initiative to increase the urban green space ratio in a climate-affected village in Iraq from under 5% to 20%. By planting resilient trees along streets, the project aims to improve public health, reduce energy consumption, and enhance the ecosystem. The trees will provide shade, improve air quality, and support biodiversity, contributing to better community well-being and climate resilience. This action also addresses local economic challenges by creating jobs and reducing energy costs, fostering a more sustainable and livable environment for the village's residents.	www.releafs.co	01.01.2025	Trees	1202	25	Landscape Improvement:, Public Health Improvement, Ecosystem Improvement, Energy Saving, Community Engagement, Climate Resilience	SDG11, SDG3, SDG15, SDG7, SDG13	https://drive.google.com/file/d/1YxtCfZBm0q2-6s0V2qUydvGNrzmq0HRV/view?usp=sharing	01.01.2025	Community Driven Project	Pledge	Not Yet	MRV	Not Yet	Impact Report	Tree Planting	Trees
2	01100000100000011100010000101010101001111101110011000000000000000010000000000000000000000000000011000000000000000000000000000000000000000000	Common Releafs Token	Releafs is financing an initiative to increase the urban green space ratio in a climate-affected village in Iraq from under 5% to 20%. By planting resilient trees along streets, the project aims to improve public health, reduce energy consumption, and enhance the ecosystem. The trees will provide shade, improve air quality, and support biodiversity, contributing to better community well-being and climate resilience. This action also addresses local economic challenges by creating jobs and reducing energy costs, fostering a more sustainable and livable environment for the village's residents.	www.releafs.co	01.01.2025	Trees	1202	25	Landscape Improvement:, Public Health Improvement, Ecosystem Improvement, Energy Saving, Community Engagement, Climate Resilience	SDG11, SDG3, SDG15, SDG7, SDG13	https://drive.google.com/file/d/1YxtCfZBm0q2-6s0V2qUydvGNrzmq0HRV/view?usp=sharing	01.01.2025	Community Driven Project	Pledge	Not Yet	MRV	Not Yet	Impact Report	Tree Planting	Trees
3	01100000100000010011011100101010101010000000000110000000000000000011000000000000000000000000000011000000000000000000000000000000000000000000	Common Releafs Token	Releafs is financing an initiative to increase the urban green space ratio in a climate-affected village in Iraq from under 5% to 20%. By planting resilient trees along streets, the project aims to improve public health, reduce energy consumption, and enhance the ecosystem. The trees will provide shade, improve air quality, and support biodiversity, contributing to better community well-being and climate resilience. This action also addresses local economic challenges by creating jobs and reducing energy costs, fostering a more sustainable and livable environment for the village's residents.	www.releafs.co	01.01.2025	Trees	1202	25	Landscape Improvement:, Public Health Improvement, Ecosystem Improvement, Energy Saving, Community Engagement, Climate Resilience	SDG11, SDG3, SDG15, SDG7, SDG13	https://drive.google.com/file/d/1YxtCfZBm0q2-6s0V2qUydvGNrzmq0HRV/view?usp=sharing	01.01.2025	Community Driven Project	Pledge	Not Yet	MRV	Not Yet	Impact Report	Tree Planting	Trees
4	01100000100000010110001110101010101010000011001111100000000000000100000000000000000000000000000011000000000000000000000000000000000000000000	Common Releafs Token	Releafs is financing an initiative to increase the urban green space ratio in a climate-affected village in Iraq from under 5% to 20%. By planting resilient trees along streets, the project aims to improve public health, reduce energy consumption, and enhance the ecosystem. The trees will provide shade, improve air quality, and support biodiversity, contributing to better community well-being and climate resilience. This action also addresses local economic challenges by creating jobs and reducing energy costs, fostering a more sustainable and livable environment for the village's residents.	www.releafs.co	01.01.2025	Trees	1202	25	Landscape Improvement:, Public Health Improvement, Ecosystem Improvement, Energy Saving, Community Engagement, Climate Resilience	SDG11, SDG3, SDG15, SDG7, SDG13	https://drive.google.com/file/d/1YxtCfZBm0q2-6s0V2qUydvGNrzmq0HRV/view?usp=sharing	01.01.2025	Community Driven Project	Pledge	Not Yet	MRV	Not Yet	Impact Report	Tree Planting	Trees
5	01100000100000010100110100101010101001111101101001100000000000000101000000000000000000000000000011000000000000000000000000000000000000000000	Common Releafs Token	Releafs is financing an initiative to increase the urban green space ratio in a climate-affected village in Iraq from under 5% to 20%. By planting resilient trees along streets, the project aims to improve public health, reduce energy consumption, and enhance the ecosystem. The trees will provide shade, improve air quality, and support biodiversity, contributing to better community well-being and climate resilience. This action also addresses local economic challenges by creating jobs and reducing energy costs, fostering a more sustainable and livable environment for the village's residents.	www.releafs.co	01.01.2025	Trees	1202	25	Landscape Improvement:, Public Health Improvement, Ecosystem Improvement, Energy Saving, Community Engagement, Climate Resilience	SDG11, SDG3, SDG15, SDG7, SDG13	https://drive.google.com/file/d/1YxtCfZBm0q2-6s0V2qUydvGNrzmq0HRV/view?usp=sharing	01.01.2025	Community Driven Project	Pledge	Not Yet	MRV	Not Yet	Impact Report	Tree Planting	Trees
6	01100000100000011101001100101010101010000001100110000000000000000110000000000000000000000000000011000000000000000000000000000000000000000000	Common Releafs Token	Releafs is financing an initiative to increase the urban green space ratio in a climate-affected village in Iraq from under 5% to 20%. By planting resilient trees along streets, the project aims to improve public health, reduce energy consumption, and enhance the ecosystem. The trees will provide shade, improve air quality, and support biodiversity, contributing to better community well-being and climate resilience. This action also addresses local economic challenges by creating jobs and reducing energy costs, fostering a more sustainable and livable environment for the village's residents.	www.releafs.co	01.01.2025	Trees	1202	25	Landscape Improvement:, Public Health Improvement, Ecosystem Improvement, Energy Saving, Community Engagement, Climate Resilience	SDG11, SDG3, SDG15, SDG7, SDG13	https://drive.google.com/file/d/1YxtCfZBm0q2-6s0V2qUydvGNrzmq0HRV/view?usp=sharing	01.01.2025	Community Driven Project	Pledge	Not Yet	MRV	Not Yet	Impact Report	Tree Planting	Trees
7	01100000100000011000001000101010101001111011101010000000000000000111000000000000000000000000000011000000000000000000000000000000000000000000	Common Releafs Token	Releafs is financing an initiative to increase the urban green space ratio in a climate-affected village in Iraq from under 5% to 20%. By planting resilient trees along streets, the project aims to improve public health, reduce energy consumption, and enhance the ecosystem. The trees will provide shade, improve air quality, and support biodiversity, contributing to better community well-being and climate resilience. This action also addresses local economic challenges by creating jobs and reducing energy costs, fostering a more sustainable and livable environment for the village's residents.	www.releafs.co	01.01.2025	Trees	1202	25	Landscape Improvement:, Public Health Improvement, Ecosystem Improvement, Energy Saving, Community Engagement, Climate Resilience	SDG11, SDG3, SDG15, SDG7, SDG13	https://drive.google.com/file/d/1YxtCfZBm0q2-6s0V2qUydvGNrzmq0HRV/view?usp=sharing	01.01.2025	Community Driven Project	Pledge	Not Yet	MRV	Not Yet	Impact Report	Tree Planting	Trees
8	01100000100000001101101000101010101010000000001110000000000000001000000000000000000000000000000011000000000000000000000000000000000000000000	Common Releafs Token	Releafs is financing an initiative to increase the urban green space ratio in a climate-affected village in Iraq from under 5% to 20%. By planting resilient trees along streets, the project aims to improve public health, reduce energy consumption, and enhance the ecosystem. The trees will provide shade, improve air quality, and support biodiversity, contributing to better community well-being and climate resilience. This action also addresses local economic challenges by creating jobs and reducing energy costs, fostering a more sustainable and livable environment for the village's residents.	www.releafs.co	01.01.2025	Trees	1202	25	Landscape Improvement:, Public Health Improvement, Ecosystem Improvement, Energy Saving, Community Engagement, Climate Resilience	SDG11, SDG3, SDG15, SDG7, SDG13	https://drive.google.com/file/d/1YxtCfZBm0q2-6s0V2qUydvGNrzmq0HRV/view?usp=sharing	01.01.2025	Community Driven Project	Pledge	Not Yet	MRV	Not Yet	Impact Report	Tree Planting	Trees
9	01100000100000001111110010101010101010000100000101100000000000001001000000000000000000000000000011000000000000000000000000000000000000000000	Common Releafs Token	Releafs is financing an initiative to increase the urban green space ratio in a climate-affected village in Iraq from under 5% to 20%. By planting resilient trees along streets, the project aims to improve public health, reduce energy consumption, and enhance the ecosystem. The trees will provide shade, improve air quality, and support biodiversity, contributing to better community well-being and climate resilience. This action also addresses local economic challenges by creating jobs and reducing energy costs, fostering a more sustainable and livable environment for the village's residents.	www.releafs.co	01.01.2025	Trees	1202	25	Landscape Improvement:, Public Health Improvement, Ecosystem Improvement, Energy Saving, Community Engagement, Climate Resilience	SDG11, SDG3, SDG15, SDG7, SDG13	https://drive.google.com/file/d/1YxtCfZBm0q2-6s0V2qUydvGNrzmq0HRV/view?usp=sharing	01.01.2025	Community Driven Project	Pledge	Not Yet	MRV	Not Yet	Impact Report	Tree Planting	Trees
10	01100000100000010010001110101010101010000001011001000000000000001010000000000000000000000000000011000000000000000000000000000000000000000000	Common Releafs Token	Releafs is financing an initiative to increase the urban green space ratio in a climate-affected village in Iraq from under 5% to 20%. By planting resilient trees along streets, the project aims to improve public health, reduce energy consumption, and enhance the ecosystem. The trees will provide shade, improve air quality, and support biodiversity, contributing to better community well-being and climate resilience. This action also addresses local economic challenges by creating jobs and reducing energy costs, fostering a more sustainable and livable environment for the village's residents.	www.releafs.co	01.01.2025	Trees	1202	25	Landscape Improvement:, Public Health Improvement, Ecosystem Improvement, Energy Saving, Community Engagement, Climate Resilience	SDG11, SDG3, SDG15, SDG7, SDG13	https://drive.google.com/file/d/1YxtCfZBm0q2-6s0V2qUydvGNrzmq0HRV/view?usp=sharing	01.01.2025	Community Driven Project	Pledge	Not Yet	MRV	Not Yet	Impact Report	Tree Planting	Trees
